source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
lnhpd,"aloe barbadensis","aloe barbadensis",3,true,"aloe barbadensis","Aloe barbadensis","aloe barbadensis"
lnhpd,"thymus vulgaris","thymus vulgaris",3,true,"thymus vulgaris","Thymus vulgaris","thymus vulgaris"
lnhpd,"berberis vulgaris","berberis vulgaris",3,true,"berberis vulgaris","Berberis vulgaris","berberis vulgaris"
lnhpd,"mercurius corrosivus","mercurius corrosivus",3,true,"mercurius corrosivus","Mercurius corrosivus","mercurius corrosivus"
lnhpd,"carica papaya","carica papaya",3,true,"carica papaya","Carica papaya","carica papaya"
lnhpd,"rheum palmatum","rheum palmatum",3,true,"rheum palmatum","Rheum palmatum","rheum palmatum"
lnhpd,"lycopersicon esculentum","lycopersicon esculentum",3,true,"lycopersicon esculentum","Lycopersicon esculentum","lycopersicon esculentum"
lnhpd,"commiphora myrrha","commiphora myrrha",3,true,"commiphora myrrha","Commiphora myrrha","commiphora myrrha"
lnhpd,"belladonna","belladonna",3,false,"belladonna","Belladonna","belladonna"
lnhpd,"lepidium meyenii","lepidium meyenii",3,true,"lepidium meyenii","Lepidium meyenii","lepidium meyenii"
lnhpd,"terminalia chebula","terminalia chebula",3,true,"terminalia chebula","Terminalia chebula","terminalia chebula"
lnhpd,"rosmarinus officinalis","rosmarinus officinalis",3,true,"rosmarinus officinalis","Rosmarinus officinalis","rosmarinus officinalis"
lnhpd,"natrium chloratum","natrium chloratum",3,true,"natrium chloratum","Natrium chloratum","natrium chloratum"
