source,name_key,normalized_key,count,latin_binomial,original_name_keys,samples,normalized_samples
dsld,"citrus aurantium fruit extract","citrus aurantium fruit extract",1,true,"citrus aurantium fruit extract","Citrus aurantium fruit extract","citrus aurantium fruit extract"
dsld,"convolvulus pluricaulis","convolvulus pluricaulis",1,true,"convolvulus pluricaulis","Convolvulus pluricaulis","convolvulus pluricaulis"
dsld,"gla activation complex","gla activation complex",1,false,"gla activation complex","GLA Activation Complex","gla activation complex"
dsld,"rosemary extract","rosemary extract",1,false,"rosemary herb extract","Rosemary (herb) extract","rosemary extract"
dsld,"siphonochilus aethiopicus","siphonochilus aethiopicus",1,true,"siphonochilus aethiopicus","Siphonochilus aethiopicus","siphonochilus aethiopicus"
dsld,"black currant fruit 4 1 extract","black currant fruit 4 1 extract",1,true,"black currant fruit 4 1 extract","Black Currant fruit 4:1 extract","black currant fruit 4 1 extract"
dsld,"beet powder","beet powder",1,true,"beet powder","Beet powder","beet powder"
dsld,"pomegranate blend","pomegranate blend",1,false,"pomegranate blend","Pomegranate Blend","pomegranate blend"
dsld,"amino acids","amino acids",1,false,"amino acids","Amino Acids","amino acids"
dsld,"coenzyme q 10","coenzyme q 10",1,false,"coenzyme q 10","Coenzyme Q-10","coenzyme q 10"
dsld,"amino acid accelerator blend","amino acid accelerator blend",1,false,"amino acid accelerator blend","Amino Acid Accelerator Blend","amino acid accelerator blend"
dsld,"lutigold extra blend","lutigold extra blend",1,false,"lutigold tm extra blend","Lutigold(TM) Extra Blend","lutigold extra blend"
dsld,"natural fish oil concentrate","natural fish oil concentrate",1,true,"natural fish oil concentrate","natural Fish Oil concentrate","natural fish oil concentrate"
dsld,"tocomin full spectrum natural tocotrienol tocopherol complex","tocomin full spectrum natural tocotrienol tocopherol complex",1,false,"tocomin full spectrum natural tocotrienol tocopherol complex","Tocomin Full-Spectrum Natural Tocotrienol/Tocopherol Complex","tocomin full spectrum natural tocotrienol tocopherol complex"
dsld,"alpha amino complex","alpha amino complex",1,false,"alpha amino complex","Alpha-Amino Complex","alpha amino complex"
dsld,"thermogenic mushroom blend","thermogenic mushroom blend",1,false,"thermogenic mushroom blend","Thermogenic Mushroom Blend","thermogenic mushroom blend"
dsld,"rose hips","rose hips",1,false,"rose hips","Rose Hips","rose hips"
dsld,"kre alkalyn buffered creatine","kre alkalyn buffered creatine",1,false,"kre alkalyn r buffered creatine","Kre-Alkalyn(R) Buffered Creatine","kre alkalyn buffered creatine"
dsld,"maltitol","maltitol",1,false,"maltitol","Maltitol","maltitol"
dsld,"cellmass 2 0 proprietary blend","cellmass 2 0 proprietary blend",1,false,"cellmass 2 0 proprietary blend","Cellmass 2.0 Proprietary Blend","cellmass 2 0 proprietary blend"
dsld,"serrazimes 20000 units","serrazimes 20000 units",1,false,"serrazimes r 20000 units","Serrazimes(R) 20000 Units","serrazimes 20000 units"
dsld,"digestive enzyme blend","digestive enzyme blend",1,false,"digestive enzyme blend","Digestive Enzyme Blend","digestive enzyme blend"
dsld,"soy lecithin","soy lecithin",1,false,"soy lecithin","Soy Lecithin","soy lecithin"
dsld,"senna extract","senna extract",1,true,"senna cassia angustifolia extract","Senna (Cassia angustifolia) extract","senna extract"
dsld,"gain fast specialized amino acid complex","gain fast specialized amino acid complex",1,false,"gain fast specialized amino acid complex","Gain Fast Specialized Amino Acid Complex","gain fast specialized amino acid complex"
dsld,"deodorized garlic","deodorized garlic",1,false,"deodorized garlic","deodorized Garlic","deodorized garlic"
dsld,"citrus bioflavonoid concentrate","citrus bioflavonoid concentrate",1,false,"citrus bioflavonoid concentrate","Citrus Bioflavonoid Concentrate","citrus bioflavonoid concentrate"
dsld,"agaricus blazei mushroom extract","agaricus blazei mushroom extract",1,true,"agaricus blazei mushroom extract","Agaricus blazei mushroom extract","agaricus blazei mushroom extract"
dsld,"dulse","dulse",1,false,"dulse","Dulse","dulse"
dsld,"green beet powder","green beet powder",1,true,"green beet powder","Green Beet powder","green beet powder"
dsld,"free form amino acids proprietary blend","free form amino acids proprietary blend",1,false,"free form amino acids proprietary blend","Free Form Amino Acids Proprietary Blend","free form amino acids proprietary blend"
dsld,"eleutherococcus senticosus","eleutherococcus senticosus",1,true,"eleutherococcus senticosus","Eleutherococcus senticosus","eleutherococcus senticosus"
dsld,"natural wuyi wulong tea","natural wuyi wulong tea",1,false,"natural wuyi wulong tea","Natural Wuyi Wulong Tea","natural wuyi wulong tea"
dsld,"birch","birch",1,false,"birch","Birch","birch"
dsld,"proprietary prebiotic blend","proprietary prebiotic blend",1,false,"proprietary prebiotic blend","Proprietary Prebiotic Blend","proprietary prebiotic blend"
dsld,"preforpro","preforpro",1,false,"preforpro","PreforPro","preforpro"
dsld,"pau d arco inner bark extract","pau d arco inner bark extract",1,true,"pau d arco inner bark handroanthus impetiginosus extract","Pau d'Arco inner bark (Handroanthus impetiginosus) extract","pau d arco inner bark extract"
dsld,"para aminobenzoic acid","para aminobenzoic acid",1,false,"para aminobenzoic acid","Para-Aminobenzoic Acid","para aminobenzoic acid"
dsld,"volt performance matrix","volt performance matrix",1,false,"volt tm performance matrix","Volt(TM) Performance Matrix","volt performance matrix"
dsld,"proprietary cellular longevity complex","proprietary cellular longevity complex",1,false,"proprietary cellular longevity complex","Proprietary Cellular Longevity Complex","proprietary cellular longevity complex"
dsld,"sodzyme proprietary phytoenzyme blend","sodzyme proprietary phytoenzyme blend",1,false,"sodzyme proprietary phytoenzyme blend","SODzyme Proprietary Phytoenzyme Blend","sodzyme proprietary phytoenzyme blend"
dsld,"healthy sleep blend","healthy sleep blend",1,false,"healthy sleep blend","Healthy Sleep Blend","healthy sleep blend"
dsld,"recovery infusion","recovery infusion",1,false,"recovery infusion","Recovery Infusion","recovery infusion"
dsld,"enzyme blend","enzyme blend",1,false,"enzyme blend","Enzyme Blend","enzyme blend"
dsld,"greens blend","greens blend",1,false,"greens blend herb botanical","Greens Blend (Herb/Botanical)","greens blend"
dsld,"cod liver oil","cod liver oil",1,true,"cod liver oil","Cod liver oil","cod liver oil"
dsld,"enzopharm plus","enzopharm plus",1,false,"enzopharm r plus","Enzopharm(R) Plus","enzopharm plus"
dsld,"antioxidant complex","antioxidant complex",1,false,"antioxidant complex","Antioxidant Complex","antioxidant complex"
dsld,"liver","liver",1,false,"liver","Liver","liver"
dsld,"maximum vasodilation matrix","maximum vasodilation matrix",1,false,"maximum vasodilation matrix","Maximum Vasodilation Matrix","maximum vasodilation matrix"
dsld,"yohimbe extract","yohimbe extract",1,true,"yohimbe extract","Yohimbe extract","yohimbe extract"
dsld,"celery","celery",1,false,"celery","Celery","celery"
dsld,"total tocopherols","total tocopherols",1,false,"total tocopherols","Total Tocopherols","total tocopherols"
dsld,"mixed carotenoid blend","mixed carotenoid blend",1,false,"mixed carotenoid blend","Mixed Carotenoid Blend","mixed carotenoid blend"
dsld,"mixed carotenoids","mixed carotenoids",1,false,"mixed carotenoids","Mixed Carotenoids","mixed carotenoids"
dsld,"gamma oryzanol","gamma oryzanol",1,false,"gamma oryzanol","Gamma Oryzanol","gamma oryzanol"
dsld,"trace elements","trace elements",1,false,"trace elements","Trace Elements","trace elements"
dsld,"microcrystalline hydroxyapatite","microcrystalline hydroxyapatite",1,false,"microcrystalline hydroxyapatite","Microcrystalline Hydroxyapatite","microcrystalline hydroxyapatite"
dsld,"betapower","betapower",1,false,"betapower","BetaPower","betapower"
dsld,"hydration performance blend","hydration performance blend",1,false,"hydration performance blend non nutrient non botanical","Hydration & Performance Blend (Non-Nutrient/Non-Botanical)","hydration performance blend"
dsld,"proprietary organic blend","proprietary organic blend",1,false,"proprietary organic blend","Proprietary Organic Blend","proprietary organic blend"
dsld,"maitake fruit body powder","maitake fruit body powder",1,true,"maitake grifola frondosa fruit body powder","Maitake (Grifola frondosa) fruit body powder","maitake fruit body powder"
dsld,"multi anthocyanidins powdered extract","multi anthocyanidins powdered extract",1,true,"multi anthocyanidins powdered extract","Multi-Anthocyanidins powdered extract","multi anthocyanidins powdered extract"
dsld,"p6 extreme blend","p6 extreme blend",1,false,"p6 extreme blend","P6 Extreme Blend","p6 extreme blend"
dsld,"pancreatin 4x","pancreatin 4x",1,false,"pancreatin 4x","Pancreatin 4X","pancreatin 4x"
dsld,"ultra water complex","ultra water complex",1,false,"ultra water complex","Ultra Water Complex","ultra water complex"
dsld,"motherwort aerial parts extract","motherwort aerial parts extract",1,true,"motherwort leonurus cardiaca aerial parts extract","Motherwort (Leonurus cardiaca) aerial parts extract","motherwort aerial parts extract"
dsld,"folinic acid","folinic acid",1,false,"folinic acid","Folinic Acid","folinic acid"
dsld,"micronized amino acids","micronized amino acids",1,false,"micronized amino acids","Micronized Amino Acids","micronized amino acids"
dsld,"p6 testosterone technology","p6 testosterone technology",1,false,"p6 testosterone technology","P6 Testosterone Technology","p6 testosterone technology"
dsld,"other omega 3 fatty acids","other omega 3 fatty acids",1,false,"other omega 3 fatty acids","Other Omega-3 Fatty Acids","other omega 3 fatty acids"
dsld,"raw sunflower lecithin","raw sunflower lecithin",1,false,"raw sunflower lecithin","raw Sunflower Lecithin","raw sunflower lecithin"
dsld,"butcher s broom","butcher s broom",1,false,"butcher s broom","Butcher's Broom","butcher s broom"
